protocol_context,spatial_mode,model_name,true_region,predicted_region,count,true_normalized_fraction
direct_coherent_all_shared_local_route,hybrid_local_global,logistic_regression,module_4,module_1,0,0.0
direct_coherent_all_shared_local_route,hybrid_local_global,logistic_regression,module_4,module_2,1,0.08333333333333333
direct_coherent_all_shared_local_route,hybrid_local_global,logistic_regression,module_4,module_3,0,0.0
direct_coherent_all_shared_local_route,hybrid_local_global,logistic_regression,module_4,module_4,11,0.9166666666666666
direct_coherent_all_shared_local_route,hybrid_local_global,random_forest,module_1,module_1,12,1.0
direct_coherent_all_shared_local_route,hybrid_local_global,random_forest,module_1,module_2,0,0.0
direct_coherent_all_shared_local_route,hybrid_local_global,random_forest,module_1,module_3,0,0.0
direct_coherent_all_shared_local_route,hybrid_local_global,random_forest,module_1,module_4,0,0.0
direct_coherent_all_shared_local_route,hybrid_local_global,random_forest,module_2,module_1,0,0.0
direct_coherent_all_shared_local_route,hybrid_local_global,random_forest,module_2,module_2,12,1.0
direct_coherent_all_shared_local_route,hybrid_local_global,random_forest,module_2,module_3,0,0.0
direct_coherent_all_shared_local_route,hybrid_local_global,random_forest,module_2,module_4,0,0.0
direct_coherent_all_shared_local_route,hybrid_local_global,random_forest,module_3,module_1,1,0.08333333333333333
direct_coherent_all_shared_local_route,hybrid_local_global,random_forest,module_3,module_2,0,0.0
direct_coherent_all_shared_local_route,hybrid_local_global,random_forest,module_3,module_3,11,0.9166666666666666
direct_coherent_all_shared_local_route,hybrid_local_global,random_forest,module_3,module_4,0,0.0
direct_coherent_all_shared_local_route,hybrid_local_global,random_forest,module_4,module_1,0,0.0
direct_coherent_all_shared_local_route,hybrid_local_global,random_forest,module_4,module_2,1,0.08333333333333333
direct_coherent_all_shared_local_route,hybrid_local_global,random_forest,module_4,module_3,0,0.0
direct_coherent_all_shared_local_route,hybrid_local_global,random_forest,module_4,module_4,11,0.9166666666666666
direct_coherent_all_shared_local_route,hybrid_local_global,hist_gradient_boosting,module_1,module_1,12,1.0
direct_coherent_all_shared_local_route,hybrid_local_global,hist_gradient_boosting,module_1,module_2,0,0.0
direct_coherent_all_shared_local_route,hybrid_local_global,hist_gradient_boosting,module_1,module_3,0,0.0
direct_coherent_all_shared_local_route,hybrid_local_global,hist_gradient_boosting,module_1,module_4,0,0.0
direct_coherent_all_shared_local_route,hybrid_local_global,hist_gradient_boosting,module_2,module_1,0,0.0
direct_coherent_all_shared_local_route,hybrid_local_global,hist_gradient_boosting,module_2,module_2,12,1.0
direct_coherent_all_shared_local_route,hybrid_local_global,hist_gradient_boosting,module_2,module_3,0,0.0
direct_coherent_all_shared_local_route,hybrid_local_global,hist_gradient_boosting,module_2,module_4,0,0.0
direct_coherent_all_shared_local_route,hybrid_local_global,hist_gradient_boosting,module_3,module_1,0,0.0
direct_coherent_all_shared_local_route,hybrid_local_global,hist_gradient_boosting,module_3,module_2,0,0.0
direct_coherent_all_shared_local_route,hybrid_local_global,hist_gradient_boosting,module_3,module_3,12,1.0
direct_coherent_all_shared_local_route,hybrid_local_global,hist_gradient_boosting,module_3,module_4,0,0.0
direct_coherent_all_shared_local_route,hybrid_local_global,hist_gradient_boosting,module_4,module_1,0,0.0
direct_coherent_all_shared_local_route,hybrid_local_global,hist_gradient_boosting,module_4,module_2,0,0.0
direct_coherent_all_shared_local_route,hybrid_local_global,hist_gradient_boosting,module_4,module_3,0,0.0
direct_coherent_all_shared_local_route,hybrid_local_global,hist_gradient_boosting,module_4,module_4,12,1.0
direct_coherent_all_shared_local_route,localized_only,logistic_regression,module_1,module_1,12,1.0
direct_coherent_all_shared_local_route,localized_only,logistic_regression,module_1,module_2,0,0.0
direct_coherent_all_shared_local_route,localized_only,logistic_regression,module_1,module_3,0,0.0
direct_coherent_all_shared_local_route,localized_only,logistic_regression,module_1,module_4,0,0.0
direct_coherent_all_shared_local_route,localized_only,logistic_regression,module_2,module_1,0,0.0
direct_coherent_all_shared_local_route,localized_only,logistic_regression,module_2,module_2,12,1.0
direct_coherent_all_shared_local_route,localized_only,logistic_regression,module_2,module_3,0,0.0
direct_coherent_all_shared_local_route,localized_only,logistic_regression,module_2,module_4,0,0.0
direct_coherent_all_shared_local_route,localized_only,logistic_regression,module_3,module_1,0,0.0
direct_coherent_all_shared_local_route,localized_only,logistic_regression,module_3,module_2,0,0.0
direct_coherent_all_shared_local_route,localized_only,logistic_regression,module_3,module_3,12,1.0
direct_coherent_all_shared_local_route,localized_only,logistic_regression,module_3,module_4,0,0.0
direct_coherent_all_shared_local_route,localized_only,logistic_regression,module_4,module_1,0,0.0
direct_coherent_all_shared_local_route,localized_only,logistic_regression,module_4,module_2,0,0.0
direct_coherent_all_shared_local_route,localized_only,logistic_regression,module_4,module_3,0,0.0
direct_coherent_all_shared_local_route,localized_only,logistic_regression,module_4,module_4,12,1.0
direct_coherent_all_shared_local_route,localized_only,random_forest,module_1,module_1,12,1.0
direct_coherent_all_shared_local_route,localized_only,random_forest,module_1,module_2,0,0.0
direct_coherent_all_shared_local_route,localized_only,random_forest,module_1,module_3,0,0.0
direct_coherent_all_shared_local_route,localized_only,random_forest,module_1,module_4,0,0.0
direct_coherent_all_shared_local_route,localized_only,random_forest,module_2,module_1,0,0.0
direct_coherent_all_shared_local_route,localized_only,random_forest,module_2,module_2,12,1.0
direct_coherent_all_shared_local_route,localized_only,random_forest,module_2,module_3,0,0.0
direct_coherent_all_shared_local_route,localized_only,random_forest,module_2,module_4,0,0.0
direct_coherent_all_shared_local_route,localized_only,random_forest,module_3,module_1,0,0.0
direct_coherent_all_shared_local_route,localized_only,random_forest,module_3,module_2,0,0.0
direct_coherent_all_shared_local_route,localized_only,random_forest,module_3,module_3,12,1.0
direct_coherent_all_shared_local_route,localized_only,random_forest,module_3,module_4,0,0.0
direct_coherent_all_shared_local_route,localized_only,random_forest,module_4,module_1,0,0.0
direct_coherent_all_shared_local_route,localized_only,random_forest,module_4,module_2,0,0.0
direct_coherent_all_shared_local_route,localized_only,random_forest,module_4,module_3,0,0.0
direct_coherent_all_shared_local_route,localized_only,random_forest,module_4,module_4,12,1.0
direct_coherent_all_shared_local_route,localized_only,hist_gradient_boosting,module_1,module_1,12,1.0
direct_coherent_all_shared_local_route,localized_only,hist_gradient_boosting,module_1,module_2,0,0.0
direct_coherent_all_shared_local_route,localized_only,hist_gradient_boosting,module_1,module_3,0,0.0
direct_coherent_all_shared_local_route,localized_only,hist_gradient_boosting,module_1,module_4,0,0.0
direct_coherent_all_shared_local_route,localized_only,hist_gradient_boosting,module_2,module_1,0,0.0
direct_coherent_all_shared_local_route,localized_only,hist_gradient_boosting,module_2,module_2,12,1.0
direct_coherent_all_shared_local_route,localized_only,hist_gradient_boosting,module_2,module_3,0,0.0
direct_coherent_all_shared_local_route,localized_only,hist_gradient_boosting,module_2,module_4,0,0.0
direct_coherent_all_shared_local_route,localized_only,hist_gradient_boosting,module_3,module_1,0,0.0
direct_coherent_all_shared_local_route,localized_only,hist_gradient_boosting,module_3,module_2,0,0.0
direct_coherent_all_shared_local_route,localized_only,hist_gradient_boosting,module_3,module_3,12,1.0
direct_coherent_all_shared_local_route,localized_only,hist_gradient_boosting,module_3,module_4,0,0.0
direct_coherent_all_shared_local_route,localized_only,hist_gradient_boosting,module_4,module_1,0,0.0
direct_coherent_all_shared_local_route,localized_only,hist_gradient_boosting,module_4,module_2,0,0.0
direct_coherent_all_shared_local_route,localized_only,hist_gradient_boosting,module_4,module_3,0,0.0
direct_coherent_all_shared_local_route,localized_only,hist_gradient_boosting,module_4,module_4,12,1.0
entanglement_assisted_all_shared_local_route,global_only_control,logistic_regression,module_1,module_1,12,1.0
entanglement_assisted_all_shared_local_route,global_only_control,logistic_regression,module_1,module_2,0,0.0
entanglement_assisted_all_shared_local_route,global_only_control,logistic_regression,module_1,module_3,0,0.0
entanglement_assisted_all_shared_local_route,global_only_control,logistic_regression,module_1,module_4,0,0.0
entanglement_assisted_all_shared_local_route,global_only_control,logistic_regression,module_2,module_1,12,1.0
entanglement_assisted_all_shared_local_route,global_only_control,logistic_regression,module_2,module_2,0,0.0
entanglement_assisted_all_shared_local_route,global_only_control,logistic_regression,module_2,module_3,0,0.0
entanglement_assisted_all_shared_local_route,global_only_control,logistic_regression,module_2,module_4,0,0.0
entanglement_assisted_all_shared_local_route,global_only_control,logistic_regression,module_3,module_1,12,1.0
entanglement_assisted_all_shared_local_route,global_only_control,logistic_regression,module_3,module_2,0,0.0
entanglement_assisted_all_shared_local_route,global_only_control,logistic_regression,module_3,module_3,0,0.0
entanglement_assisted_all_shared_local_route,global_only_control,logistic_regression,module_3,module_4,0,0.0
entanglement_assisted_all_shared_local_route,global_only_control,logistic_regression,module_4,module_1,12,1.0
entanglement_assisted_all_shared_local_route,global_only_control,logistic_regression,module_4,module_2,0,0.0
entanglement_assisted_all_shared_local_route,global_only_control,logistic_regression,module_4,module_3,0,0.0
entanglement_assisted_all_shared_local_route,global_only_control,logistic_regression,module_4,module_4,0,0.0
entanglement_assisted_all_shared_local_route,global_only_control,random_forest,module_1,module_1,0,0.0
entanglement_assisted_all_shared_local_route,global_only_control,random_forest,module_1,module_2,5,0.4166666666666667
entanglement_assisted_all_shared_local_route,global_only_control,random_forest,module_1,module_3,3,0.25
entanglement_assisted_all_shared_local_route,global_only_control,random_forest,module_1,module_4,4,0.3333333333333333
entanglement_assisted_all_shared_local_route,global_only_control,random_forest,module_2,module_1,0,0.0
entanglement_assisted_all_shared_local_route,global_only_control,random_forest,module_2,module_2,5,0.4166666666666667
entanglement_assisted_all_shared_local_route,global_only_control,random_forest,module_2,module_3,3,0.25
entanglement_assisted_all_shared_local_route,global_only_control,random_forest,module_2,module_4,4,0.3333333333333333
entanglement_assisted_all_shared_local_route,global_only_control,random_forest,module_3,module_1,0,0.0
entanglement_assisted_all_shared_local_route,global_only_control,random_forest,module_3,module_2,5,0.4166666666666667
entanglement_assisted_all_shared_local_route,global_only_control,random_forest,module_3,module_3,3,0.25
entanglement_assisted_all_shared_local_route,global_only_control,random_forest,module_3,module_4,4,0.3333333333333333
entanglement_assisted_all_shared_local_route,global_only_control,random_forest,module_4,module_1,0,0.0
entanglement_assisted_all_shared_local_route,global_only_control,random_forest,module_4,module_2,5,0.4166666666666667
entanglement_assisted_all_shared_local_route,global_only_control,random_forest,module_4,module_3,3,0.25
entanglement_assisted_all_shared_local_route,global_only_control,random_forest,module_4,module_4,4,0.3333333333333333
entanglement_assisted_all_shared_local_route,global_only_control,hist_gradient_boosting,module_1,module_1,12,1.0
entanglement_assisted_all_shared_local_route,global_only_control,hist_gradient_boosting,module_1,module_2,0,0.0
entanglement_assisted_all_shared_local_route,global_only_control,hist_gradient_boosting,module_1,module_3,0,0.0
entanglement_assisted_all_shared_local_route,global_only_control,hist_gradient_boosting,module_1,module_4,0,0.0
entanglement_assisted_all_shared_local_route,global_only_control,hist_gradient_boosting,module_2,module_1,12,1.0
entanglement_assisted_all_shared_local_route,global_only_control,hist_gradient_boosting,module_2,module_2,0,0.0
entanglement_assisted_all_shared_local_route,global_only_control,hist_gradient_boosting,module_2,module_3,0,0.0
entanglement_assisted_all_shared_local_route,global_only_control,hist_gradient_boosting,module_2,module_4,0,0.0
entanglement_assisted_all_shared_local_route,global_only_control,hist_gradient_boosting,module_3,module_1,12,1.0
entanglement_assisted_all_shared_local_route,global_only_control,hist_gradient_boosting,module_3,module_2,0,0.0
entanglement_assisted_all_shared_local_route,global_only_control,hist_gradient_boosting,module_3,module_3,0,0.0
entanglement_assisted_all_shared_local_route,global_only_control,hist_gradient_boosting,module_3,module_4,0,0.0
entanglement_assisted_all_shared_local_route,global_only_control,hist_gradient_boosting,module_4,module_1,12,1.0
entanglement_assisted_all_shared_local_route,global_only_control,hist_gradient_boosting,module_4,module_2,0,0.0
entanglement_assisted_all_shared_local_route,global_only_control,hist_gradient_boosting,module_4,module_3,0,0.0
entanglement_assisted_all_shared_local_route,global_only_control,hist_gradient_boosting,module_4,module_4,0,0.0
entanglement_assisted_all_shared_local_route,hybrid_local_global,logistic_regression,module_1,module_1,12,1.0
entanglement_assisted_all_shared_local_route,hybrid_local_global,logistic_regression,module_1,module_2,0,0.0
entanglement_assisted_all_shared_local_route,hybrid_local_global,logistic_regression,module_1,module_3,0,0.0
entanglement_assisted_all_shared_local_route,hybrid_local_global,logistic_regression,module_1,module_4,0,0.0
entanglement_assisted_all_shared_local_route,hybrid_local_global,logistic_regression,module_2,module_1,0,0.0
entanglement_assisted_all_shared_local_route,hybrid_local_global,logistic_regression,module_2,module_2,12,1.0
entanglement_assisted_all_shared_local_route,hybrid_local_global,logistic_regression,module_2,module_3,0,0.0
entanglement_assisted_all_shared_local_route,hybrid_local_global,logistic_regression,module_2,module_4,0,0.0
entanglement_assisted_all_shared_local_route,hybrid_local_global,logistic_regression,module_3,module_1,0,0.0
entanglement_assisted_all_shared_local_route,hybrid_local_global,logistic_regression,module_3,module_2,0,0.0
entanglement_assisted_all_shared_local_route,hybrid_local_global,logistic_regression,module_3,module_3,12,1.0
entanglement_assisted_all_shared_local_route,hybrid_local_global,logistic_regression,module_3,module_4,0,0.0
entanglement_assisted_all_shared_local_route,hybrid_local_global,logistic_regression,module_4,module_1,0,0.0
entanglement_assisted_all_shared_local_route,hybrid_local_global,logistic_regression,module_4,module_2,0,0.0
entanglement_assisted_all_shared_local_route,hybrid_local_global,logistic_regression,module_4,module_3,0,0.0
entanglement_assisted_all_shared_local_route,hybrid_local_global,logistic_regression,module_4,module_4,12,1.0
entanglement_assisted_all_shared_local_route,hybrid_local_global,random_forest,module_1,module_1,12,1.0
entanglement_assisted_all_shared_local_route,hybrid_local_global,random_forest,module_1,module_2,0,0.0
entanglement_assisted_all_shared_local_route,hybrid_local_global,random_forest,module_1,module_3,0,0.0
entanglement_assisted_all_shared_local_route,hybrid_local_global,random_forest,module_1,module_4,0,0.0
entanglement_assisted_all_shared_local_route,hybrid_local_global,random_forest,module_2,module_1,0,0.0
entanglement_assisted_all_shared_local_route,hybrid_local_global,random_forest,module_2,module_2,12,1.0
entanglement_assisted_all_shared_local_route,hybrid_local_global,random_forest,module_2,module_3,0,0.0
entanglement_assisted_all_shared_local_route,hybrid_local_global,random_forest,module_2,module_4,0,0.0
entanglement_assisted_all_shared_local_route,hybrid_local_global,random_forest,module_3,module_1,0,0.0
entanglement_assisted_all_shared_local_route,hybrid_local_global,random_forest,module_3,module_2,0,0.0
entanglement_assisted_all_shared_local_route,hybrid_local_global,random_forest,module_3,module_3,12,1.0
entanglement_assisted_all_shared_local_route,hybrid_local_global,random_forest,module_3,module_4,0,0.0
entanglement_assisted_all_shared_local_route,hybrid_local_global,random_forest,module_4,module_1,0,0.0
entanglement_assisted_all_shared_local_route,hybrid_local_global,random_forest,module_4,module_2,0,0.0
entanglement_assisted_all_shared_local_route,hybrid_local_global,random_forest,module_4,module_3,0,0.0
entanglement_assisted_all_shared_local_route,hybrid_local_global,random_forest,module_4,module_4,12,1.0
entanglement_assisted_all_shared_local_route,hybrid_local_global,hist_gradient_boosting,module_1,module_1,12,1.0
entanglement_assisted_all_shared_local_route,hybrid_local_global,hist_gradient_boosting,module_1,module_2,0,0.0
entanglement_assisted_all_shared_local_route,hybrid_local_global,hist_gradient_boosting,module_1,module_3,0,0.0
entanglement_assisted_all_shared_local_route,hybrid_local_global,hist_gradient_boosting,module_1,module_4,0,0.0
entanglement_assisted_all_shared_local_route,hybrid_local_global,hist_gradient_boosting,module_2,module_1,0,0.0
entanglement_assisted_all_shared_local_route,hybrid_local_global,hist_gradient_boosting,module_2,module_2,12,1.0
entanglement_assisted_all_shared_local_route,hybrid_local_global,hist_gradient_boosting,module_2,module_3,0,0.0
entanglement_assisted_all_shared_local_route,hybrid_local_global,hist_gradient_boosting,module_2,module_4,0,0.0
entanglement_assisted_all_shared_local_route,hybrid_local_global,hist_gradient_boosting,module_3,module_1,0,0.0
entanglement_assisted_all_shared_local_route,hybrid_local_global,hist_gradient_boosting,module_3,module_2,0,0.0
entanglement_assisted_all_shared_local_route,hybrid_local_global,hist_gradient_boosting,module_3,module_3,12,1.0
entanglement_assisted_all_shared_local_route,hybrid_local_global,hist_gradient_boosting,module_3,module_4,0,0.0
entanglement_assisted_all_shared_local_route,hybrid_local_global,hist_gradient_boosting,module_4,module_1,0,0.0
entanglement_assisted_all_shared_local_route,hybrid_local_global,hist_gradient_boosting,module_4,module_2,0,0.0
entanglement_assisted_all_shared_local_route,hybrid_local_global,hist_gradient_boosting,module_4,module_3,0,0.0
entanglement_assisted_all_shared_local_route,hybrid_local_global,hist_gradient_boosting,module_4,module_4,12,1.0
entanglement_assisted_all_shared_local_route,localized_only,logistic_regression,module_1,module_1,12,1.0
entanglement_assisted_all_shared_local_route,localized_only,logistic_regression,module_1,module_2,0,0.0
