run_type,victim_remote_event_id,victim_trace_step,op_name,qubits,source_module,target_modules,arrival_time_ns,service_start_time_ns,completion_time_ns,waiting_time_ns,turnaround_time_ns,service_time_ns
victim_present,0,20,barrier,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18",module_0,"module_1,module_2",19960,19960,20080,0,120,120
victim_present,1,21,cx,"0,18",module_0,module_2,19965,20080,20190,115,225,110
victim_present,2,22,cx,"1,18",module_0,module_2,19970,20190,20300,220,330,110
victim_present,3,23,cx,"2,18",module_0,module_2,19975,20300,20410,325,435,110
victim_present,4,24,cx,"3,18",module_0,module_2,19980,20410,20520,430,540,110
victim_present,5,25,cx,"4,18",module_0,module_2,19985,20520,20630,535,645,110
victim_present,6,26,cx,"5,18",module_0,module_2,19990,20630,20740,640,750,110
victim_present,7,27,cx,"6,18",module_0,module_2,19995,20740,20850,745,855,110
victim_present,8,28,cx,"7,18",module_1,module_2,20000,20850,20960,850,960,110
victim_present,9,29,cx,"8,18",module_1,module_2,20005,20960,21070,955,1065,110
victim_present,10,30,cx,"9,18",module_1,module_2,20010,21070,21180,1060,1170,110
victim_present,11,31,cx,"10,18",module_1,module_2,20015,21180,21290,1165,1275,110
victim_present,12,32,cx,"11,18",module_1,module_2,20020,21290,21400,1270,1380,110
victim_present,13,33,cx,"12,18",module_1,module_2,20025,21400,21510,1375,1485,110
victim_present,14,34,cx,"13,18",module_1,module_2,20030,21510,21620,1480,1590,110
victim_present,15,39,barrier,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18",module_0,"module_1,module_2",20055,21730,21850,1675,1795,120
