qaoa_label,num_qubits,profile_name,trial_id,attacker_request_id,probe_id,window_name,observation_duration_ns,round_start_time_ns,request_release_time_ns,actual_arrival_time_ns,service_start_time_ns,victim_on_completion_time_ns,service_time_ns,victim_on_waiting_time_ns,victim_on_turnaround_time_ns,source_module,target_modules,architecture_request_id,baseline_waiting_time_ns,baseline_turnaround_time_ns,baseline_completion_time_ns,excess_waiting_time_ns,excess_turnaround_time_ns,victim_contention_observed,raw_excess_turnaround_time_ns,raw_excess_waiting_time_ns,detection_threshold_ns
qaoa_n7,7,clean,0,19,19,qaoa_n7_clean,20000,8980,9010,9010,9010,9120.0,110,0.0,110.0,module_3,module_4,44,0.0,110.0,9120.0,0.0,0.0,False,0.0,0.0,0.0
qaoa_n7,7,clean,0,20,20,qaoa_n7_clean,20000,9400,9430,9430,9430,9540.0,110,0.0,110.0,module_3,module_4,45,0.0,110.0,9540.0,0.0,0.0,False,0.0,0.0,0.0
qaoa_n7,7,clean,0,21,21,qaoa_n7_clean,20000,9820,9850,9850,9850,9960.0,110,0.0,110.0,module_3,module_4,46,0.0,110.0,9960.0,0.0,0.0,False,0.0,0.0,0.0
qaoa_n7,7,clean,0,22,22,qaoa_n7_clean,20000,10240,10270,10270,10270,10380.0,110,0.0,110.0,module_3,module_4,47,0.0,110.0,10380.0,0.0,0.0,False,0.0,0.0,0.0
qaoa_n7,7,clean,0,23,23,qaoa_n7_clean,20000,10660,10690,10690,10690,10800.0,110,0.0,110.0,module_3,module_4,48,0.0,110.0,10800.0,0.0,0.0,False,0.0,0.0,0.0
qaoa_n7,7,clean,0,24,24,qaoa_n7_clean,20000,11080,11110,11110,11110,11220.0,110,0.0,110.0,module_3,module_4,49,0.0,110.0,11220.0,0.0,0.0,False,0.0,0.0,0.0
qaoa_n7,7,clean,0,25,25,qaoa_n7_clean,20000,11500,11530,11530,11530,11640.0,110,0.0,110.0,module_3,module_4,50,0.0,110.0,11640.0,0.0,0.0,False,0.0,0.0,0.0
qaoa_n7,7,clean,0,26,26,qaoa_n7_clean,20000,11920,11950,11950,11950,12060.0,110,0.0,110.0,module_3,module_4,51,0.0,110.0,12060.0,0.0,0.0,False,0.0,0.0,0.0
qaoa_n7,7,clean,0,27,27,qaoa_n7_clean,20000,12340,12370,12370,12370,12480.0,110,0.0,110.0,module_3,module_4,52,0.0,110.0,12480.0,0.0,0.0,False,0.0,0.0,0.0
qaoa_n7,7,clean,0,28,28,qaoa_n7_clean,20000,12760,12790,12790,12790,12900.0,110,0.0,110.0,module_3,module_4,53,0.0,110.0,12900.0,0.0,0.0,False,0.0,0.0,0.0
qaoa_n7,7,clean,0,29,29,qaoa_n7_clean,20000,13180,13210,13210,13210,13320.0,110,0.0,110.0,module_3,module_4,54,0.0,110.0,13320.0,0.0,0.0,False,0.0,0.0,0.0
qaoa_n7,7,clean,0,30,30,qaoa_n7_clean,20000,13600,13630,13630,13630,13740.0,110,0.0,110.0,module_3,module_4,55,0.0,110.0,13740.0,0.0,0.0,False,0.0,0.0,0.0
qaoa_n7,7,clean,0,31,31,qaoa_n7_clean,20000,14020,14050,14050,14050,14160.0,110,0.0,110.0,module_3,module_4,56,0.0,110.0,14160.0,0.0,0.0,False,0.0,0.0,0.0
qaoa_n7,7,clean,0,32,32,qaoa_n7_clean,20000,14440,14470,14470,14470,14580.0,110,0.0,110.0,module_3,module_4,57,0.0,110.0,14580.0,0.0,0.0,False,0.0,0.0,0.0
qaoa_n7,7,clean,0,33,33,qaoa_n7_clean,20000,14860,14890,14890,14890,15000.0,110,0.0,110.0,module_3,module_4,58,0.0,110.0,15000.0,0.0,0.0,False,0.0,0.0,0.0
qaoa_n7,7,clean,0,34,34,qaoa_n7_clean,20000,15280,15310,15310,15310,15420.0,110,0.0,110.0,module_3,module_4,59,0.0,110.0,15420.0,0.0,0.0,False,0.0,0.0,0.0
qaoa_n7,7,clean,0,35,35,qaoa_n7_clean,20000,15700,15730,15730,15730,15840.0,110,0.0,110.0,module_3,module_4,60,0.0,110.0,15840.0,0.0,0.0,False,0.0,0.0,0.0
qaoa_n7,7,clean,0,36,36,qaoa_n7_clean,20000,16120,16150,16150,16150,16260.0,110,0.0,110.0,module_3,module_4,61,0.0,110.0,16260.0,0.0,0.0,False,0.0,0.0,0.0
qaoa_n7,7,clean,0,37,37,qaoa_n7_clean,20000,16540,16570,16570,16570,16680.0,110,0.0,110.0,module_3,module_4,62,0.0,110.0,16680.0,0.0,0.0,False,0.0,0.0,0.0
qaoa_n7,7,clean,0,38,38,qaoa_n7_clean,20000,16960,16990,16990,16990,17100.0,110,0.0,110.0,module_3,module_4,63,0.0,110.0,17100.0,0.0,0.0,False,0.0,0.0,0.0
qaoa_n7,7,clean,0,39,39,qaoa_n7_clean,20000,17380,17410,17410,17410,17520.0,110,0.0,110.0,module_3,module_4,64,0.0,110.0,17520.0,0.0,0.0,False,0.0,0.0,0.0
qaoa_n7,7,clean,0,40,40,qaoa_n7_clean,20000,17800,17830,17830,17830,17940.0,110,0.0,110.0,module_3,module_4,65,0.0,110.0,17940.0,0.0,0.0,False,0.0,0.0,0.0
qaoa_n7,7,clean,0,41,41,qaoa_n7_clean,20000,18220,18250,18250,18250,18360.0,110,0.0,110.0,module_3,module_4,66,0.0,110.0,18360.0,0.0,0.0,False,0.0,0.0,0.0
qaoa_n7,7,clean,0,42,42,qaoa_n7_clean,20000,18640,18670,18670,18670,18780.0,110,0.0,110.0,module_3,module_4,67,0.0,110.0,18780.0,0.0,0.0,False,0.0,0.0,0.0
qaoa_n7,7,clean,0,43,43,qaoa_n7_clean,20000,19060,19090,19090,19090,19200.0,110,0.0,110.0,module_3,module_4,68,0.0,110.0,19200.0,0.0,0.0,False,0.0,0.0,0.0
qaoa_n7,7,clean,0,44,44,qaoa_n7_clean,20000,19480,19510,19510,19510,19620.0,110,0.0,110.0,module_3,module_4,69,0.0,110.0,19620.0,0.0,0.0,False,0.0,0.0,0.0
qaoa_n7,7,clean,0,45,45,qaoa_n7_clean,20000,19900,19930,19930,19930,20040.0,110,0.0,110.0,module_3,module_4,70,0.0,110.0,20040.0,0.0,0.0,False,0.0,0.0,0.0
qaoa_n7,7,clean,0,46,46,qaoa_n7_clean,20000,20320,20350,20350,20350,20460.0,110,0.0,110.0,module_3,module_4,71,0.0,110.0,20460.0,0.0,0.0,False,0.0,0.0,0.0
qaoa_n7,7,clean,0,47,47,qaoa_n7_clean,20000,20740,20770,20770,20770,20880.0,110,0.0,110.0,module_3,module_4,72,0.0,110.0,20880.0,0.0,0.0,False,0.0,0.0,0.0
qaoa_n8,8,clean,0,0,0,qaoa_n8_clean,20000,1000,1030,1030,1030,1140.0,110,0.0,110.0,module_3,module_4,0,0.0,110.0,1140.0,0.0,0.0,False,0.0,0.0,0.0
qaoa_n8,8,clean,0,1,1,qaoa_n8_clean,20000,1420,1450,1450,2900,3010.0,110,1450.0,1560.0,module_3,module_4,17,0.0,110.0,1560.0,1450.0,1450.0,True,1450.0,1450.0,0.0
qaoa_n8,8,clean,0,2,2,qaoa_n8_clean,20000,1840,1870,1870,4010,4120.0,110,2140.0,2250.0,module_3,module_4,27,0.0,110.0,1980.0,2140.0,2140.0,True,2140.0,2140.0,0.0
qaoa_n8,8,clean,0,3,3,qaoa_n8_clean,20000,2260,2290,2290,4120,4230.0,110,1830.0,1940.0,module_3,module_4,28,0.0,110.0,2400.0,1830.0,1830.0,True,1830.0,1830.0,0.0
qaoa_n8,8,clean,0,4,4,qaoa_n8_clean,20000,2680,2710,2710,4230,4340.0,110,1520.0,1630.0,module_3,module_4,29,0.0,110.0,2820.0,1520.0,1520.0,True,1520.0,1520.0,0.0
qaoa_n8,8,clean,0,5,5,qaoa_n8_clean,20000,3100,3130,3130,4340,4450.0,110,1210.0,1320.0,module_3,module_4,30,0.0,110.0,3240.0,1210.0,1210.0,True,1210.0,1210.0,0.0
qaoa_n8,8,clean,0,6,6,qaoa_n8_clean,20000,3520,3550,3550,4450,4560.0,110,900.0,1010.0,module_3,module_4,31,0.0,110.0,3660.0,900.0,900.0,True,900.0,900.0,0.0
qaoa_n8,8,clean,0,7,7,qaoa_n8_clean,20000,3940,3970,3970,4560,4670.0,110,590.0,700.0,module_3,module_4,32,0.0,110.0,4080.0,590.0,590.0,True,590.0,590.0,0.0
qaoa_n8,8,clean,0,8,8,qaoa_n8_clean,20000,4360,4390,4390,4670,4780.0,110,280.0,390.0,module_3,module_4,33,0.0,110.0,4500.0,280.0,280.0,True,280.0,280.0,0.0
qaoa_n8,8,clean,0,9,9,qaoa_n8_clean,20000,4780,4810,4810,4810,4920.0,110,0.0,110.0,module_3,module_4,34,0.0,110.0,4920.0,0.0,0.0,False,0.0,0.0,0.0
qaoa_n8,8,clean,0,10,10,qaoa_n8_clean,20000,5200,5230,5230,5230,5340.0,110,0.0,110.0,module_3,module_4,35,0.0,110.0,5340.0,0.0,0.0,False,0.0,0.0,0.0
qaoa_n8,8,clean,0,11,11,qaoa_n8_clean,20000,5620,5650,5650,5650,5760.0,110,0.0,110.0,module_3,module_4,36,0.0,110.0,5760.0,0.0,0.0,False,0.0,0.0,0.0
qaoa_n8,8,clean,0,12,12,qaoa_n8_clean,20000,6040,6070,6070,6070,6180.0,110,0.0,110.0,module_3,module_4,37,0.0,110.0,6180.0,0.0,0.0,False,0.0,0.0,0.0
qaoa_n8,8,clean,0,13,13,qaoa_n8_clean,20000,6460,6490,6490,6490,6600.0,110,0.0,110.0,module_3,module_4,38,0.0,110.0,6600.0,0.0,0.0,False,0.0,0.0,0.0
qaoa_n8,8,clean,0,14,14,qaoa_n8_clean,20000,6880,6910,6910,6910,7020.0,110,0.0,110.0,module_3,module_4,39,0.0,110.0,7020.0,0.0,0.0,False,0.0,0.0,0.0
qaoa_n8,8,clean,0,15,15,qaoa_n8_clean,20000,7300,7330,7330,7330,7440.0,110,0.0,110.0,module_3,module_4,40,0.0,110.0,7440.0,0.0,0.0,False,0.0,0.0,0.0
qaoa_n8,8,clean,0,16,16,qaoa_n8_clean,20000,7720,7750,7750,7750,7860.0,110,0.0,110.0,module_3,module_4,41,0.0,110.0,7860.0,0.0,0.0,False,0.0,0.0,0.0
qaoa_n8,8,clean,0,17,17,qaoa_n8_clean,20000,8140,8170,8170,8170,8280.0,110,0.0,110.0,module_3,module_4,42,0.0,110.0,8280.0,0.0,0.0,False,0.0,0.0,0.0
qaoa_n8,8,clean,0,18,18,qaoa_n8_clean,20000,8560,8590,8590,8590,8700.0,110,0.0,110.0,module_3,module_4,43,0.0,110.0,8700.0,0.0,0.0,False,0.0,0.0,0.0
qaoa_n8,8,clean,0,19,19,qaoa_n8_clean,20000,8980,9010,9010,9010,9120.0,110,0.0,110.0,module_3,module_4,44,0.0,110.0,9120.0,0.0,0.0,False,0.0,0.0,0.0
qaoa_n8,8,clean,0,20,20,qaoa_n8_clean,20000,9400,9430,9430,9430,9540.0,110,0.0,110.0,module_3,module_4,45,0.0,110.0,9540.0,0.0,0.0,False,0.0,0.0,0.0
qaoa_n8,8,clean,0,21,21,qaoa_n8_clean,20000,9820,9850,9850,9850,9960.0,110,0.0,110.0,module_3,module_4,46,0.0,110.0,9960.0,0.0,0.0,False,0.0,0.0,0.0
qaoa_n8,8,clean,0,22,22,qaoa_n8_clean,20000,10240,10270,10270,10270,10380.0,110,0.0,110.0,module_3,module_4,47,0.0,110.0,10380.0,0.0,0.0,False,0.0,0.0,0.0
qaoa_n8,8,clean,0,23,23,qaoa_n8_clean,20000,10660,10690,10690,10690,10800.0,110,0.0,110.0,module_3,module_4,48,0.0,110.0,10800.0,0.0,0.0,False,0.0,0.0,0.0
qaoa_n8,8,clean,0,24,24,qaoa_n8_clean,20000,11080,11110,11110,11110,11220.0,110,0.0,110.0,module_3,module_4,49,0.0,110.0,11220.0,0.0,0.0,False,0.0,0.0,0.0
qaoa_n8,8,clean,0,25,25,qaoa_n8_clean,20000,11500,11530,11530,11530,11640.0,110,0.0,110.0,module_3,module_4,50,0.0,110.0,11640.0,0.0,0.0,False,0.0,0.0,0.0
qaoa_n8,8,clean,0,26,26,qaoa_n8_clean,20000,11920,11950,11950,11950,12060.0,110,0.0,110.0,module_3,module_4,51,0.0,110.0,12060.0,0.0,0.0,False,0.0,0.0,0.0
qaoa_n8,8,clean,0,27,27,qaoa_n8_clean,20000,12340,12370,12370,12370,12480.0,110,0.0,110.0,module_3,module_4,52,0.0,110.0,12480.0,0.0,0.0,False,0.0,0.0,0.0
qaoa_n8,8,clean,0,28,28,qaoa_n8_clean,20000,12760,12790,12790,12790,12900.0,110,0.0,110.0,module_3,module_4,53,0.0,110.0,12900.0,0.0,0.0,False,0.0,0.0,0.0
qaoa_n8,8,clean,0,29,29,qaoa_n8_clean,20000,13180,13210,13210,13210,13320.0,110,0.0,110.0,module_3,module_4,54,0.0,110.0,13320.0,0.0,0.0,False,0.0,0.0,0.0
qaoa_n8,8,clean,0,30,30,qaoa_n8_clean,20000,13600,13630,13630,13630,13740.0,110,0.0,110.0,module_3,module_4,55,0.0,110.0,13740.0,0.0,0.0,False,0.0,0.0,0.0
qaoa_n8,8,clean,0,31,31,qaoa_n8_clean,20000,14020,14050,14050,14050,14160.0,110,0.0,110.0,module_3,module_4,56,0.0,110.0,14160.0,0.0,0.0,False,0.0,0.0,0.0
qaoa_n8,8,clean,0,32,32,qaoa_n8_clean,20000,14440,14470,14470,14470,14580.0,110,0.0,110.0,module_3,module_4,57,0.0,110.0,14580.0,0.0,0.0,False,0.0,0.0,0.0
qaoa_n8,8,clean,0,33,33,qaoa_n8_clean,20000,14860,14890,14890,14890,15000.0,110,0.0,110.0,module_3,module_4,58,0.0,110.0,15000.0,0.0,0.0,False,0.0,0.0,0.0
qaoa_n8,8,clean,0,34,34,qaoa_n8_clean,20000,15280,15310,15310,15310,15420.0,110,0.0,110.0,module_3,module_4,59,0.0,110.0,15420.0,0.0,0.0,False,0.0,0.0,0.0
qaoa_n8,8,clean,0,35,35,qaoa_n8_clean,20000,15700,15730,15730,15730,15840.0,110,0.0,110.0,module_3,module_4,60,0.0,110.0,15840.0,0.0,0.0,False,0.0,0.0,0.0
qaoa_n8,8,clean,0,36,36,qaoa_n8_clean,20000,16120,16150,16150,16150,16260.0,110,0.0,110.0,module_3,module_4,61,0.0,110.0,16260.0,0.0,0.0,False,0.0,0.0,0.0
qaoa_n8,8,clean,0,37,37,qaoa_n8_clean,20000,16540,16570,16570,16570,16680.0,110,0.0,110.0,module_3,module_4,62,0.0,110.0,16680.0,0.0,0.0,False,0.0,0.0,0.0
qaoa_n8,8,clean,0,38,38,qaoa_n8_clean,20000,16960,16990,16990,16990,17100.0,110,0.0,110.0,module_3,module_4,63,0.0,110.0,17100.0,0.0,0.0,False,0.0,0.0,0.0
qaoa_n8,8,clean,0,39,39,qaoa_n8_clean,20000,17380,17410,17410,17410,17520.0,110,0.0,110.0,module_3,module_4,64,0.0,110.0,17520.0,0.0,0.0,False,0.0,0.0,0.0
qaoa_n8,8,clean,0,40,40,qaoa_n8_clean,20000,17800,17830,17830,17830,17940.0,110,0.0,110.0,module_3,module_4,65,0.0,110.0,17940.0,0.0,0.0,False,0.0,0.0,0.0
qaoa_n8,8,clean,0,41,41,qaoa_n8_clean,20000,18220,18250,18250,18250,18360.0,110,0.0,110.0,module_3,module_4,66,0.0,110.0,18360.0,0.0,0.0,False,0.0,0.0,0.0
qaoa_n8,8,clean,0,42,42,qaoa_n8_clean,20000,18640,18670,18670,18670,18780.0,110,0.0,110.0,module_3,module_4,67,0.0,110.0,18780.0,0.0,0.0,False,0.0,0.0,0.0
qaoa_n8,8,clean,0,43,43,qaoa_n8_clean,20000,19060,19090,19090,19090,19200.0,110,0.0,110.0,module_3,module_4,68,0.0,110.0,19200.0,0.0,0.0,False,0.0,0.0,0.0
qaoa_n8,8,clean,0,44,44,qaoa_n8_clean,20000,19480,19510,19510,19510,19620.0,110,0.0,110.0,module_3,module_4,69,0.0,110.0,19620.0,0.0,0.0,False,0.0,0.0,0.0
qaoa_n8,8,clean,0,45,45,qaoa_n8_clean,20000,19900,19930,19930,19930,20040.0,110,0.0,110.0,module_3,module_4,70,0.0,110.0,20040.0,0.0,0.0,False,0.0,0.0,0.0
qaoa_n8,8,clean,0,46,46,qaoa_n8_clean,20000,20320,20350,20350,20350,20460.0,110,0.0,110.0,module_3,module_4,71,0.0,110.0,20460.0,0.0,0.0,False,0.0,0.0,0.0
qaoa_n8,8,clean,0,47,47,qaoa_n8_clean,20000,20740,20770,20770,20770,20880.0,110,0.0,110.0,module_3,module_4,72,0.0,110.0,20880.0,0.0,0.0,False,0.0,0.0,0.0
qaoa_n9,9,clean,0,0,0,qaoa_n9_clean,20000,1000,1030,1030,1030,1140.0,110,0.0,110.0,module_3,module_4,0,0.0,110.0,1140.0,0.0,0.0,False,0.0,0.0,0.0
qaoa_n9,9,clean,0,1,1,qaoa_n9_clean,20000,1420,1450,1450,3120,3230.0,110,1670.0,1780.0,module_3,module_4,19,0.0,110.0,1560.0,1670.0,1670.0,True,1670.0,1670.0,0.0
qaoa_n9,9,clean,0,2,2,qaoa_n9_clean,20000,1840,1870,1870,4890,5000.0,110,3020.0,3130.0,module_3,module_4,35,0.0,110.0,1980.0,3020.0,3020.0,True,3020.0,3020.0,0.0
qaoa_n9,9,clean,0,3,3,qaoa_n9_clean,20000,2260,2290,2290,5000,5110.0,110,2710.0,2820.0,module_3,module_4,36,0.0,110.0,2400.0,2710.0,2710.0,True,2710.0,2710.0,0.0
qaoa_n9,9,clean,0,4,4,qaoa_n9_clean,20000,2680,2710,2710,5110,5220.0,110,2400.0,2510.0,module_3,module_4,37,0.0,110.0,2820.0,2400.0,2400.0,True,2400.0,2400.0,0.0
qaoa_n9,9,clean,0,5,5,qaoa_n9_clean,20000,3100,3130,3130,5220,5330.0,110,2090.0,2200.0,module_3,module_4,38,0.0,110.0,3240.0,2090.0,2090.0,True,2090.0,2090.0,0.0
qaoa_n9,9,clean,0,6,6,qaoa_n9_clean,20000,3520,3550,3550,5330,5440.0,110,1780.0,1890.0,module_3,module_4,39,0.0,110.0,3660.0,1780.0,1780.0,True,1780.0,1780.0,0.0
qaoa_n9,9,clean,0,7,7,qaoa_n9_clean,20000,3940,3970,3970,5440,5550.0,110,1470.0,1580.0,module_3,module_4,40,0.0,110.0,4080.0,1470.0,1470.0,True,1470.0,1470.0,0.0
qaoa_n9,9,clean,0,8,8,qaoa_n9_clean,20000,4360,4390,4390,5550,5660.0,110,1160.0,1270.0,module_3,module_4,41,0.0,110.0,4500.0,1160.0,1160.0,True,1160.0,1160.0,0.0
qaoa_n9,9,clean,0,9,9,qaoa_n9_clean,20000,4780,4810,4810,5660,5770.0,110,850.0,960.0,module_3,module_4,42,0.0,110.0,4920.0,850.0,850.0,True,850.0,850.0,0.0
qaoa_n9,9,clean,0,10,10,qaoa_n9_clean,20000,5200,5230,5230,5770,5880.0,110,540.0,650.0,module_3,module_4,43,0.0,110.0,5340.0,540.0,540.0,True,540.0,540.0,0.0
qaoa_n9,9,clean,0,11,11,qaoa_n9_clean,20000,5620,5650,5650,5880,5990.0,110,230.0,340.0,module_3,module_4,44,0.0,110.0,5760.0,230.0,230.0,True,230.0,230.0,0.0
qaoa_n9,9,clean,0,12,12,qaoa_n9_clean,20000,6040,6070,6070,6070,6180.0,110,0.0,110.0,module_3,module_4,45,0.0,110.0,6180.0,0.0,0.0,False,0.0,0.0,0.0
qaoa_n9,9,clean,0,13,13,qaoa_n9_clean,20000,6460,6490,6490,6490,6600.0,110,0.0,110.0,module_3,module_4,46,0.0,110.0,6600.0,0.0,0.0,False,0.0,0.0,0.0
qaoa_n9,9,clean,0,14,14,qaoa_n9_clean,20000,6880,6910,6910,6910,7020.0,110,0.0,110.0,module_3,module_4,47,0.0,110.0,7020.0,0.0,0.0,False,0.0,0.0,0.0
qaoa_n9,9,clean,0,15,15,qaoa_n9_clean,20000,7300,7330,7330,7330,7440.0,110,0.0,110.0,module_3,module_4,48,0.0,110.0,7440.0,0.0,0.0,False,0.0,0.0,0.0
qaoa_n9,9,clean,0,16,16,qaoa_n9_clean,20000,7720,7750,7750,7750,7860.0,110,0.0,110.0,module_3,module_4,49,0.0,110.0,7860.0,0.0,0.0,False,0.0,0.0,0.0
qaoa_n9,9,clean,0,17,17,qaoa_n9_clean,20000,8140,8170,8170,8170,8280.0,110,0.0,110.0,module_3,module_4,50,0.0,110.0,8280.0,0.0,0.0,False,0.0,0.0,0.0
qaoa_n9,9,clean,0,18,18,qaoa_n9_clean,20000,8560,8590,8590,8590,8700.0,110,0.0,110.0,module_3,module_4,51,0.0,110.0,8700.0,0.0,0.0,False,0.0,0.0,0.0
qaoa_n9,9,clean,0,19,19,qaoa_n9_clean,20000,8980,9010,9010,9010,9120.0,110,0.0,110.0,module_3,module_4,52,0.0,110.0,9120.0,0.0,0.0,False,0.0,0.0,0.0
qaoa_n9,9,clean,0,20,20,qaoa_n9_clean,20000,9400,9430,9430,9430,9540.0,110,0.0,110.0,module_3,module_4,53,0.0,110.0,9540.0,0.0,0.0,False,0.0,0.0,0.0
qaoa_n9,9,clean,0,21,21,qaoa_n9_clean,20000,9820,9850,9850,9850,9960.0,110,0.0,110.0,module_3,module_4,54,0.0,110.0,9960.0,0.0,0.0,False,0.0,0.0,0.0
qaoa_n9,9,clean,0,22,22,qaoa_n9_clean,20000,10240,10270,10270,10270,10380.0,110,0.0,110.0,module_3,module_4,55,0.0,110.0,10380.0,0.0,0.0,False,0.0,0.0,0.0
qaoa_n9,9,clean,0,23,23,qaoa_n9_clean,20000,10660,10690,10690,10690,10800.0,110,0.0,110.0,module_3,module_4,56,0.0,110.0,10800.0,0.0,0.0,False,0.0,0.0,0.0
qaoa_n9,9,clean,0,24,24,qaoa_n9_clean,20000,11080,11110,11110,11110,11220.0,110,0.0,110.0,module_3,module_4,57,0.0,110.0,11220.0,0.0,0.0,False,0.0,0.0,0.0
qaoa_n9,9,clean,0,25,25,qaoa_n9_clean,20000,11500,11530,11530,11530,11640.0,110,0.0,110.0,module_3,module_4,58,0.0,110.0,11640.0,0.0,0.0,False,0.0,0.0,0.0
qaoa_n9,9,clean,0,26,26,qaoa_n9_clean,20000,11920,11950,11950,11950,12060.0,110,0.0,110.0,module_3,module_4,59,0.0,110.0,12060.0,0.0,0.0,False,0.0,0.0,0.0
qaoa_n9,9,clean,0,27,27,qaoa_n9_clean,20000,12340,12370,12370,12370,12480.0,110,0.0,110.0,module_3,module_4,60,0.0,110.0,12480.0,0.0,0.0,False,0.0,0.0,0.0
qaoa_n9,9,clean,0,28,28,qaoa_n9_clean,20000,12760,12790,12790,12790,12900.0,110,0.0,110.0,module_3,module_4,61,0.0,110.0,12900.0,0.0,0.0,False,0.0,0.0,0.0
qaoa_n9,9,clean,0,29,29,qaoa_n9_clean,20000,13180,13210,13210,13210,13320.0,110,0.0,110.0,module_3,module_4,62,0.0,110.0,13320.0,0.0,0.0,False,0.0,0.0,0.0
qaoa_n9,9,clean,0,30,30,qaoa_n9_clean,20000,13600,13630,13630,13630,13740.0,110,0.0,110.0,module_3,module_4,63,0.0,110.0,13740.0,0.0,0.0,False,0.0,0.0,0.0
qaoa_n9,9,clean,0,31,31,qaoa_n9_clean,20000,14020,14050,14050,14050,14160.0,110,0.0,110.0,module_3,module_4,64,0.0,110.0,14160.0,0.0,0.0,False,0.0,0.0,0.0
qaoa_n9,9,clean,0,32,32,qaoa_n9_clean,20000,14440,14470,14470,14470,14580.0,110,0.0,110.0,module_3,module_4,65,0.0,110.0,14580.0,0.0,0.0,False,0.0,0.0,0.0
qaoa_n9,9,clean,0,33,33,qaoa_n9_clean,20000,14860,14890,14890,14890,15000.0,110,0.0,110.0,module_3,module_4,66,0.0,110.0,15000.0,0.0,0.0,False,0.0,0.0,0.0
qaoa_n9,9,clean,0,34,34,qaoa_n9_clean,20000,15280,15310,15310,15310,15420.0,110,0.0,110.0,module_3,module_4,67,0.0,110.0,15420.0,0.0,0.0,False,0.0,0.0,0.0
qaoa_n9,9,clean,0,35,35,qaoa_n9_clean,20000,15700,15730,15730,15730,15840.0,110,0.0,110.0,module_3,module_4,68,0.0,110.0,15840.0,0.0,0.0,False,0.0,0.0,0.0
qaoa_n9,9,clean,0,36,36,qaoa_n9_clean,20000,16120,16150,16150,16150,16260.0,110,0.0,110.0,module_3,module_4,69,0.0,110.0,16260.0,0.0,0.0,False,0.0,0.0,0.0
qaoa_n9,9,clean,0,37,37,qaoa_n9_clean,20000,16540,16570,16570,16570,16680.0,110,0.0,110.0,module_3,module_4,70,0.0,110.0,16680.0,0.0,0.0,False,0.0,0.0,0.0
qaoa_n9,9,clean,0,38,38,qaoa_n9_clean,20000,16960,16990,16990,16990,17100.0,110,0.0,110.0,module_3,module_4,71,0.0,110.0,17100.0,0.0,0.0,False,0.0,0.0,0.0
qaoa_n9,9,clean,0,39,39,qaoa_n9_clean,20000,17380,17410,17410,17410,17520.0,110,0.0,110.0,module_3,module_4,72,0.0,110.0,17520.0,0.0,0.0,False,0.0,0.0,0.0
qaoa_n9,9,clean,0,40,40,qaoa_n9_clean,20000,17800,17830,17830,17830,17940.0,110,0.0,110.0,module_3,module_4,73,0.0,110.0,17940.0,0.0,0.0,False,0.0,0.0,0.0
qaoa_n9,9,clean,0,41,41,qaoa_n9_clean,20000,18220,18250,18250,18250,18360.0,110,0.0,110.0,module_3,module_4,74,0.0,110.0,18360.0,0.0,0.0,False,0.0,0.0,0.0
qaoa_n9,9,clean,0,42,42,qaoa_n9_clean,20000,18640,18670,18670,18670,18780.0,110,0.0,110.0,module_3,module_4,75,0.0,110.0,18780.0,0.0,0.0,False,0.0,0.0,0.0
qaoa_n9,9,clean,0,43,43,qaoa_n9_clean,20000,19060,19090,19090,19090,19200.0,110,0.0,110.0,module_3,module_4,76,0.0,110.0,19200.0,0.0,0.0,False,0.0,0.0,0.0
qaoa_n9,9,clean,0,44,44,qaoa_n9_clean,20000,19480,19510,19510,19510,19620.0,110,0.0,110.0,module_3,module_4,77,0.0,110.0,19620.0,0.0,0.0,False,0.0,0.0,0.0
qaoa_n9,9,clean,0,45,45,qaoa_n9_clean,20000,19900,19930,19930,19930,20040.0,110,0.0,110.0,module_3,module_4,78,0.0,110.0,20040.0,0.0,0.0,False,0.0,0.0,0.0
qaoa_n9,9,clean,0,46,46,qaoa_n9_clean,20000,20320,20350,20350,20350,20460.0,110,0.0,110.0,module_3,module_4,79,0.0,110.0,20460.0,0.0,0.0,False,0.0,0.0,0.0
qaoa_n9,9,clean,0,47,47,qaoa_n9_clean,20000,20740,20770,20770,20770,20880.0,110,0.0,110.0,module_3,module_4,80,0.0,110.0,20880.0,0.0,0.0,False,0.0,0.0,0.0
qaoa_n10,10,clean,0,0,0,qaoa_n10_clean,20000,1000,1030,1030,1030,1140.0,110,0.0,110.0,module_3,module_4,0,0.0,110.0,1140.0,0.0,0.0,False,0.0,0.0,0.0
qaoa_n10,10,clean,0,1,1,qaoa_n10_clean,20000,1420,1450,1450,2460,2570.0,110,1010.0,1120.0,module_3,module_4,13,0.0,110.0,1560.0,1010.0,1010.0,True,1010.0,1010.0,0.0
qaoa_n10,10,clean,0,2,2,qaoa_n10_clean,20000,1840,1870,1870,4330,4440.0,110,2460.0,2570.0,module_3,module_4,30,0.0,110.0,1980.0,2460.0,2460.0,True,2460.0,2460.0,0.0
qaoa_n10,10,clean,0,3,3,qaoa_n10_clean,20000,2260,2290,2290,4560,4670.0,110,2270.0,2380.0,module_3,module_4,32,0.0,110.0,2400.0,2270.0,2270.0,True,2270.0,2270.0,0.0
