domain_id,task_name,model_name,true_label,predicted_label,count,true_normalized_fraction
joint_shift,protocol_label_only_control,random_forest,teledata,teledata,0,0.0
joint_shift,protocol_label_only_control,random_forest,teledata,telegate,1,0.16666666666666666
joint_shift,protocol_label_only_control,random_forest,telegate,direct_transfer,1,0.16666666666666666
joint_shift,protocol_label_only_control,random_forest,telegate,on_demand_epr,0,0.0
joint_shift,protocol_label_only_control,random_forest,telegate,prefetched_epr,4,0.6666666666666666
joint_shift,protocol_label_only_control,random_forest,telegate,teledata,0,0.0
joint_shift,protocol_label_only_control,random_forest,telegate,telegate,1,0.16666666666666666
joint_shift,retry_policy_inference,logistic_regression,retry_1,retry_1,1,0.16666666666666666
joint_shift,retry_policy_inference,logistic_regression,retry_1,retry_2,1,0.16666666666666666
joint_shift,retry_policy_inference,logistic_regression,retry_1,retry_4,4,0.6666666666666666
joint_shift,retry_policy_inference,logistic_regression,retry_2,retry_1,1,0.16666666666666666
joint_shift,retry_policy_inference,logistic_regression,retry_2,retry_2,3,0.5
joint_shift,retry_policy_inference,logistic_regression,retry_2,retry_4,2,0.3333333333333333
joint_shift,retry_policy_inference,logistic_regression,retry_4,retry_1,0,0.0
joint_shift,retry_policy_inference,logistic_regression,retry_4,retry_2,3,0.5
joint_shift,retry_policy_inference,logistic_regression,retry_4,retry_4,3,0.5
joint_shift,service_class_inference,logistic_regression,high_fidelity,high_fidelity,1,0.16666666666666666
joint_shift,service_class_inference,logistic_regression,high_fidelity,low_latency,5,0.8333333333333334
joint_shift,service_class_inference,logistic_regression,low_latency,high_fidelity,0,0.0
joint_shift,service_class_inference,logistic_regression,low_latency,low_latency,6,1.0
joint_shift,service_label_only_control,random_forest,high_fidelity,high_fidelity,4,0.6666666666666666
joint_shift,service_label_only_control,random_forest,high_fidelity,low_latency,2,0.3333333333333333
joint_shift,service_label_only_control,random_forest,low_latency,high_fidelity,4,0.6666666666666666
joint_shift,service_label_only_control,random_forest,low_latency,low_latency,2,0.3333333333333333
unseen_impl_fast,distillation_depth_inference,logistic_regression,distill_0,distill_0,5,0.8333333333333334
unseen_impl_fast,distillation_depth_inference,logistic_regression,distill_0,distill_1,1,0.16666666666666666
unseen_impl_fast,distillation_depth_inference,logistic_regression,distill_0,distill_2,0,0.0
unseen_impl_fast,distillation_depth_inference,logistic_regression,distill_1,distill_0,1,0.16666666666666666
unseen_impl_fast,distillation_depth_inference,logistic_regression,distill_1,distill_1,3,0.5
unseen_impl_fast,distillation_depth_inference,logistic_regression,distill_1,distill_2,2,0.3333333333333333
unseen_impl_fast,distillation_depth_inference,logistic_regression,distill_2,distill_0,0,0.0
unseen_impl_fast,distillation_depth_inference,logistic_regression,distill_2,distill_1,3,0.5
unseen_impl_fast,distillation_depth_inference,logistic_regression,distill_2,distill_2,3,0.5
unseen_impl_fast,protocol_inference,hist_gradient_boosting,direct_transfer,direct_transfer,2,0.3333333333333333
unseen_impl_fast,protocol_inference,hist_gradient_boosting,direct_transfer,on_demand_epr,3,0.5
unseen_impl_fast,protocol_inference,hist_gradient_boosting,direct_transfer,prefetched_epr,1,0.16666666666666666
unseen_impl_fast,protocol_inference,hist_gradient_boosting,direct_transfer,teledata,0,0.0
unseen_impl_fast,protocol_inference,hist_gradient_boosting,direct_transfer,telegate,0,0.0
unseen_impl_fast,protocol_inference,hist_gradient_boosting,on_demand_epr,direct_transfer,0,0.0
unseen_impl_fast,protocol_inference,hist_gradient_boosting,on_demand_epr,on_demand_epr,6,1.0
unseen_impl_fast,protocol_inference,hist_gradient_boosting,on_demand_epr,prefetched_epr,0,0.0
unseen_impl_fast,protocol_inference,hist_gradient_boosting,on_demand_epr,teledata,0,0.0
unseen_impl_fast,protocol_inference,hist_gradient_boosting,on_demand_epr,telegate,0,0.0
unseen_impl_fast,protocol_inference,hist_gradient_boosting,prefetched_epr,direct_transfer,1,0.16666666666666666
unseen_impl_fast,protocol_inference,hist_gradient_boosting,prefetched_epr,on_demand_epr,2,0.3333333333333333
unseen_impl_fast,protocol_inference,hist_gradient_boosting,prefetched_epr,prefetched_epr,1,0.16666666666666666
unseen_impl_fast,protocol_inference,hist_gradient_boosting,prefetched_epr,teledata,2,0.3333333333333333
unseen_impl_fast,protocol_inference,hist_gradient_boosting,prefetched_epr,telegate,0,0.0
unseen_impl_fast,protocol_inference,hist_gradient_boosting,teledata,direct_transfer,1,0.16666666666666666
unseen_impl_fast,protocol_inference,hist_gradient_boosting,teledata,on_demand_epr,2,0.3333333333333333
unseen_impl_fast,protocol_inference,hist_gradient_boosting,teledata,prefetched_epr,1,0.16666666666666666
unseen_impl_fast,protocol_inference,hist_gradient_boosting,teledata,teledata,0,0.0
unseen_impl_fast,protocol_inference,hist_gradient_boosting,teledata,telegate,2,0.3333333333333333
unseen_impl_fast,protocol_inference,hist_gradient_boosting,telegate,direct_transfer,1,0.16666666666666666
unseen_impl_fast,protocol_inference,hist_gradient_boosting,telegate,on_demand_epr,2,0.3333333333333333
unseen_impl_fast,protocol_inference,hist_gradient_boosting,telegate,prefetched_epr,0,0.0
unseen_impl_fast,protocol_inference,hist_gradient_boosting,telegate,teledata,2,0.3333333333333333
unseen_impl_fast,protocol_inference,hist_gradient_boosting,telegate,telegate,1,0.16666666666666666
unseen_impl_fast,protocol_label_only_control,random_forest,direct_transfer,direct_transfer,1,0.16666666666666666
unseen_impl_fast,protocol_label_only_control,random_forest,direct_transfer,on_demand_epr,0,0.0
unseen_impl_fast,protocol_label_only_control,random_forest,direct_transfer,prefetched_epr,2,0.3333333333333333
unseen_impl_fast,protocol_label_only_control,random_forest,direct_transfer,teledata,2,0.3333333333333333
unseen_impl_fast,protocol_label_only_control,random_forest,direct_transfer,telegate,1,0.16666666666666666
unseen_impl_fast,protocol_label_only_control,random_forest,on_demand_epr,direct_transfer,1,0.16666666666666666
unseen_impl_fast,protocol_label_only_control,random_forest,on_demand_epr,on_demand_epr,0,0.0
unseen_impl_fast,protocol_label_only_control,random_forest,on_demand_epr,prefetched_epr,2,0.3333333333333333
unseen_impl_fast,protocol_label_only_control,random_forest,on_demand_epr,teledata,2,0.3333333333333333
unseen_impl_fast,protocol_label_only_control,random_forest,on_demand_epr,telegate,1,0.16666666666666666
unseen_impl_fast,protocol_label_only_control,random_forest,prefetched_epr,direct_transfer,1,0.16666666666666666
unseen_impl_fast,protocol_label_only_control,random_forest,prefetched_epr,on_demand_epr,0,0.0
unseen_impl_fast,protocol_label_only_control,random_forest,prefetched_epr,prefetched_epr,2,0.3333333333333333
unseen_impl_fast,protocol_label_only_control,random_forest,prefetched_epr,teledata,2,0.3333333333333333
unseen_impl_fast,protocol_label_only_control,random_forest,prefetched_epr,telegate,1,0.16666666666666666
unseen_impl_fast,protocol_label_only_control,random_forest,teledata,direct_transfer,1,0.16666666666666666
unseen_impl_fast,protocol_label_only_control,random_forest,teledata,on_demand_epr,0,0.0
unseen_impl_fast,protocol_label_only_control,random_forest,teledata,prefetched_epr,2,0.3333333333333333
unseen_impl_fast,protocol_label_only_control,random_forest,teledata,teledata,2,0.3333333333333333
unseen_impl_fast,protocol_label_only_control,random_forest,teledata,telegate,1,0.16666666666666666
unseen_impl_fast,protocol_label_only_control,random_forest,telegate,direct_transfer,1,0.16666666666666666
unseen_impl_fast,protocol_label_only_control,random_forest,telegate,on_demand_epr,0,0.0
unseen_impl_fast,protocol_label_only_control,random_forest,telegate,prefetched_epr,2,0.3333333333333333
unseen_impl_fast,protocol_label_only_control,random_forest,telegate,teledata,2,0.3333333333333333
unseen_impl_fast,protocol_label_only_control,random_forest,telegate,telegate,1,0.16666666666666666
unseen_impl_fast,retry_policy_inference,logistic_regression,retry_1,retry_1,3,0.5
unseen_impl_fast,retry_policy_inference,logistic_regression,retry_1,retry_2,3,0.5
unseen_impl_fast,retry_policy_inference,logistic_regression,retry_1,retry_4,0,0.0
unseen_impl_fast,retry_policy_inference,logistic_regression,retry_2,retry_1,2,0.3333333333333333
unseen_impl_fast,retry_policy_inference,logistic_regression,retry_2,retry_2,3,0.5
unseen_impl_fast,retry_policy_inference,logistic_regression,retry_2,retry_4,1,0.16666666666666666
unseen_impl_fast,retry_policy_inference,logistic_regression,retry_4,retry_1,2,0.3333333333333333
unseen_impl_fast,retry_policy_inference,logistic_regression,retry_4,retry_2,3,0.5
unseen_impl_fast,retry_policy_inference,logistic_regression,retry_4,retry_4,1,0.16666666666666666
unseen_impl_fast,service_class_inference,logistic_regression,high_fidelity,high_fidelity,5,0.8333333333333334
unseen_impl_fast,service_class_inference,logistic_regression,high_fidelity,low_latency,1,0.16666666666666666
unseen_impl_fast,service_class_inference,logistic_regression,low_latency,high_fidelity,0,0.0
unseen_impl_fast,service_class_inference,logistic_regression,low_latency,low_latency,6,1.0
unseen_impl_fast,service_label_only_control,random_forest,high_fidelity,high_fidelity,4,0.6666666666666666
unseen_impl_fast,service_label_only_control,random_forest,high_fidelity,low_latency,2,0.3333333333333333
unseen_impl_fast,service_label_only_control,random_forest,low_latency,high_fidelity,4,0.6666666666666666
unseen_impl_fast,service_label_only_control,random_forest,low_latency,low_latency,2,0.3333333333333333
unseen_impl_slow,distillation_depth_inference,logistic_regression,distill_0,distill_0,3,0.5
unseen_impl_slow,distillation_depth_inference,logistic_regression,distill_0,distill_1,3,0.5
unseen_impl_slow,distillation_depth_inference,logistic_regression,distill_0,distill_2,0,0.0
unseen_impl_slow,distillation_depth_inference,logistic_regression,distill_1,distill_0,0,0.0
unseen_impl_slow,distillation_depth_inference,logistic_regression,distill_1,distill_1,4,0.6666666666666666
unseen_impl_slow,distillation_depth_inference,logistic_regression,distill_1,distill_2,2,0.3333333333333333
unseen_impl_slow,distillation_depth_inference,logistic_regression,distill_2,distill_0,0,0.0
unseen_impl_slow,distillation_depth_inference,logistic_regression,distill_2,distill_1,2,0.3333333333333333
unseen_impl_slow,distillation_depth_inference,logistic_regression,distill_2,distill_2,4,0.6666666666666666
unseen_impl_slow,protocol_inference,hist_gradient_boosting,direct_transfer,direct_transfer,0,0.0
unseen_impl_slow,protocol_inference,hist_gradient_boosting,direct_transfer,on_demand_epr,3,0.5
unseen_impl_slow,protocol_inference,hist_gradient_boosting,direct_transfer,prefetched_epr,0,0.0
unseen_impl_slow,protocol_inference,hist_gradient_boosting,direct_transfer,teledata,2,0.3333333333333333
unseen_impl_slow,protocol_inference,hist_gradient_boosting,direct_transfer,telegate,1,0.16666666666666666
unseen_impl_slow,protocol_inference,hist_gradient_boosting,on_demand_epr,direct_transfer,2,0.3333333333333333
unseen_impl_slow,protocol_inference,hist_gradient_boosting,on_demand_epr,on_demand_epr,3,0.5
unseen_impl_slow,protocol_inference,hist_gradient_boosting,on_demand_epr,prefetched_epr,0,0.0
unseen_impl_slow,protocol_inference,hist_gradient_boosting,on_demand_epr,teledata,1,0.16666666666666666
unseen_impl_slow,protocol_inference,hist_gradient_boosting,on_demand_epr,telegate,0,0.0
unseen_impl_slow,protocol_inference,hist_gradient_boosting,prefetched_epr,direct_transfer,0,0.0
unseen_impl_slow,protocol_inference,hist_gradient_boosting,prefetched_epr,on_demand_epr,0,0.0
unseen_impl_slow,protocol_inference,hist_gradient_boosting,prefetched_epr,prefetched_epr,5,0.8333333333333334
unseen_impl_slow,protocol_inference,hist_gradient_boosting,prefetched_epr,teledata,1,0.16666666666666666
unseen_impl_slow,protocol_inference,hist_gradient_boosting,prefetched_epr,telegate,0,0.0
unseen_impl_slow,protocol_inference,hist_gradient_boosting,teledata,direct_transfer,0,0.0
unseen_impl_slow,protocol_inference,hist_gradient_boosting,teledata,on_demand_epr,0,0.0
unseen_impl_slow,protocol_inference,hist_gradient_boosting,teledata,prefetched_epr,4,0.6666666666666666
unseen_impl_slow,protocol_inference,hist_gradient_boosting,teledata,teledata,2,0.3333333333333333
unseen_impl_slow,protocol_inference,hist_gradient_boosting,teledata,telegate,0,0.0
unseen_impl_slow,protocol_inference,hist_gradient_boosting,telegate,direct_transfer,0,0.0
unseen_impl_slow,protocol_inference,hist_gradient_boosting,telegate,on_demand_epr,0,0.0
unseen_impl_slow,protocol_inference,hist_gradient_boosting,telegate,prefetched_epr,2,0.3333333333333333
unseen_impl_slow,protocol_inference,hist_gradient_boosting,telegate,teledata,3,0.5
unseen_impl_slow,protocol_inference,hist_gradient_boosting,telegate,telegate,1,0.16666666666666666
unseen_impl_slow,protocol_label_only_control,random_forest,direct_transfer,direct_transfer,0,0.0
unseen_impl_slow,protocol_label_only_control,random_forest,direct_transfer,on_demand_epr,1,0.16666666666666666
unseen_impl_slow,protocol_label_only_control,random_forest,direct_transfer,prefetched_epr,0,0.0
unseen_impl_slow,protocol_label_only_control,random_forest,direct_transfer,teledata,3,0.5
unseen_impl_slow,protocol_label_only_control,random_forest,direct_transfer,telegate,2,0.3333333333333333
unseen_impl_slow,protocol_label_only_control,random_forest,on_demand_epr,direct_transfer,0,0.0
unseen_impl_slow,protocol_label_only_control,random_forest,on_demand_epr,on_demand_epr,1,0.16666666666666666
unseen_impl_slow,protocol_label_only_control,random_forest,on_demand_epr,prefetched_epr,0,0.0
unseen_impl_slow,protocol_label_only_control,random_forest,on_demand_epr,teledata,3,0.5
unseen_impl_slow,protocol_label_only_control,random_forest,on_demand_epr,telegate,2,0.3333333333333333
unseen_impl_slow,protocol_label_only_control,random_forest,prefetched_epr,direct_transfer,0,0.0
unseen_impl_slow,protocol_label_only_control,random_forest,prefetched_epr,on_demand_epr,1,0.16666666666666666
unseen_impl_slow,protocol_label_only_control,random_forest,prefetched_epr,prefetched_epr,0,0.0
unseen_impl_slow,protocol_label_only_control,random_forest,prefetched_epr,teledata,3,0.5
unseen_impl_slow,protocol_label_only_control,random_forest,prefetched_epr,telegate,2,0.3333333333333333
unseen_impl_slow,protocol_label_only_control,random_forest,teledata,direct_transfer,0,0.0
unseen_impl_slow,protocol_label_only_control,random_forest,teledata,on_demand_epr,1,0.16666666666666666
unseen_impl_slow,protocol_label_only_control,random_forest,teledata,prefetched_epr,0,0.0
unseen_impl_slow,protocol_label_only_control,random_forest,teledata,teledata,3,0.5
unseen_impl_slow,protocol_label_only_control,random_forest,teledata,telegate,2,0.3333333333333333
unseen_impl_slow,protocol_label_only_control,random_forest,telegate,direct_transfer,0,0.0
unseen_impl_slow,protocol_label_only_control,random_forest,telegate,on_demand_epr,1,0.16666666666666666
unseen_impl_slow,protocol_label_only_control,random_forest,telegate,prefetched_epr,0,0.0
unseen_impl_slow,protocol_label_only_control,random_forest,telegate,teledata,3,0.5
unseen_impl_slow,protocol_label_only_control,random_forest,telegate,telegate,2,0.3333333333333333
unseen_impl_slow,retry_policy_inference,logistic_regression,retry_1,retry_1,2,0.3333333333333333
