scenario_name,logical_component,sharing_mode,component_capacity,cross_tenant_reuse,reuse_event_count,mean_acquisition_to_acquisition_ns,median_acquisition_to_acquisition_ns,mean_release_to_reacquire_gap_ns,minimum_release_to_reacquire_gap_ns,mean_previous_hold_ns
shared_data_path_capacity2,transmission_segment,shared_pool,2,True,1501,473.81755301860204,252.73361094867641,393.81755301860204,0.012228609613885055,80.0
shared_data_path_partitioned_two_lanes,controller_admission,dedicated,1,False,2366,490.90236686390534,420.0,482.90236686390534,230.99999999999818,8.0
shared_data_path_partitioned_two_lanes,destination_link_interface,partitioned,2,False,2366,490.90236686390534,420.0,478.90236686390534,226.9999999999991,11.999999999999998
shared_data_path_partitioned_two_lanes,source_link_interface,partitioned,2,False,2366,490.90236686390534,420.0,371.90236686390534,119.99999999999818,119.0
shared_data_path_partitioned_two_lanes,switch_arbiter,dedicated,1,False,2366,490.90236686390534,420.0,478.90236686390534,226.99999999999818,12.0
shared_data_path_partitioned_two_lanes,switch_path,partitioned,2,False,2366,490.90236686390534,420.0,395.90236686390534,143.99999999999818,95.0
shared_data_path_partitioned_two_lanes,transmission_segment,partitioned,2,False,2366,490.90236686390534,420.0,410.90236686390534,158.99999999999818,80.0
shared_destination_link_interface_capacity1,controller_admission,dedicated,1,False,2366,490.90236686390534,420.0,482.90236686390534,230.99999999999818,8.0
shared_destination_link_interface_capacity1,destination_link_interface,shared_pool,1,False,657,389.96741469916935,420.0,377.96741469916935,227.0,12.0
shared_destination_link_interface_capacity1,destination_link_interface,shared_pool,1,True,1739,194.26438506584572,185.37665289308643,182.26438506584572,0.0,11.999999999999998
shared_destination_link_interface_capacity1,source_link_interface,dedicated,1,False,2366,490.90236686390534,420.0,371.90236686390534,119.99999999999818,119.0
shared_destination_link_interface_capacity1,switch_arbiter,dedicated,1,False,2366,490.90236686390534,420.0,478.90236686390534,226.99999999999818,12.0
shared_destination_link_interface_capacity1,switch_path,dedicated,1,False,2366,490.90236686390534,420.0,395.90236686390534,143.99999999999818,95.0
shared_destination_link_interface_capacity1,transmission_segment,dedicated,1,False,2366,490.90236686390534,420.0,410.90236686390534,158.99999999999818,80.0
shared_destination_link_interface_capacity2,controller_admission,dedicated,1,False,2366,490.90236686390534,420.0,482.90236686390534,230.99999999999818,8.0
shared_destination_link_interface_capacity2,destination_link_interface,shared_pool,2,False,667,616.5772113943028,420.0,604.5772113943028,227.0,12.0
shared_destination_link_interface_capacity2,destination_link_interface,shared_pool,2,True,1712,223.7794910219348,193.60335990076055,211.7794910219348,0.016950204817476333,11.999999999999998
shared_destination_link_interface_capacity2,source_link_interface,dedicated,1,False,2366,490.90236686390534,420.0,371.90236686390534,119.99999999999818,119.0
shared_destination_link_interface_capacity2,switch_arbiter,dedicated,1,False,2366,490.90236686390534,420.0,478.90236686390534,226.99999999999818,12.0
shared_destination_link_interface_capacity2,switch_path,dedicated,1,False,2366,490.90236686390534,420.0,395.90236686390534,143.99999999999818,95.0
shared_destination_link_interface_capacity2,transmission_segment,dedicated,1,False,2366,490.90236686390534,420.0,410.90236686390534,158.99999999999818,80.0
shared_full_pipeline_capacity1,controller_admission,shared_pool,1,False,657,395.70693912787067,420.0,387.70693912787067,231.0,8.0
shared_full_pipeline_capacity1,controller_admission,shared_pool,1,True,1739,192.2344118711286,185.37665289308643,184.2344118711286,0.0,8.0
shared_full_pipeline_capacity1,destination_link_interface,shared_pool,1,False,657,371.7351706854084,420.0,359.7351706854084,227.0,12.0
shared_full_pipeline_capacity1,destination_link_interface,shared_pool,1,True,1739,201.51383009430725,178.62237291430392,189.51383009430725,106.99999999999989,11.999999999999998
shared_full_pipeline_capacity1,source_link_interface,shared_pool,1,False,657,371.7351706854084,420.0,252.73517068540838,120.0,119.0
shared_full_pipeline_capacity1,source_link_interface,shared_pool,1,True,1739,201.51383009430725,178.62237291430392,82.51383009430727,0.0,119.0
shared_full_pipeline_capacity1,switch_arbiter,shared_pool,1,False,657,371.7351706854084,420.0,359.7351706854084,227.0,12.0
shared_full_pipeline_capacity1,switch_arbiter,shared_pool,1,True,1739,201.51383009430725,178.62237291430392,189.51383009430725,106.99999999999994,12.0
shared_full_pipeline_capacity1,switch_path,shared_pool,1,False,657,371.7351706854084,420.0,276.7351706854084,144.0,95.0
shared_full_pipeline_capacity1,switch_path,shared_pool,1,True,1739,201.51383009430725,178.62237291430392,106.51383009430727,24.0,95.0
shared_full_pipeline_capacity1,transmission_segment,shared_pool,1,False,657,371.7351706854084,420.0,291.7351706854084,159.0,80.0
shared_full_pipeline_capacity1,transmission_segment,shared_pool,1,True,1739,201.51383009430725,178.62237291430392,121.51383009430727,39.0,80.0
shared_full_pipeline_capacity2,controller_admission,shared_pool,2,False,665,594.1578947368421,420.0,586.1578947368421,231.0,8.0
shared_full_pipeline_capacity2,controller_admission,shared_pool,2,True,1717,203.18017302670938,191.13154269235747,195.18017302670938,0.8684573076461675,8.0
shared_full_pipeline_capacity2,destination_link_interface,shared_pool,2,False,667,616.5772113943028,420.0,604.5772113943028,227.0,12.0
shared_full_pipeline_capacity2,destination_link_interface,shared_pool,2,True,1712,223.7794910219348,193.60335990076055,211.7794910219348,0.016950204817476333,11.999999999999998
shared_full_pipeline_capacity2,source_link_interface,shared_pool,2,False,1128,502.90248226950354,420.0,383.90248226950354,120.0,119.0
shared_full_pipeline_capacity2,source_link_interface,shared_pool,2,True,1238,448.51123182154737,271.0314268774441,329.51123182154737,0.19533887966281327,119.0
shared_full_pipeline_capacity2,switch_arbiter,shared_pool,2,False,667,616.5772113943028,420.0,604.5772113943028,227.0,12.0
shared_full_pipeline_capacity2,switch_arbiter,shared_pool,2,True,1712,223.7794910219348,193.60335990076055,211.7794910219348,0.016950204817476333,12.0
shared_full_pipeline_capacity2,switch_path,shared_pool,2,False,974,481.9907597535934,420.0,386.9907597535934,144.0,95.0
shared_full_pipeline_capacity2,switch_path,shared_pool,2,True,1392,463.96647247551493,260.3906792767155,368.96647247551493,0.3989535070541024,95.0
shared_full_pipeline_capacity2,transmission_segment,shared_pool,2,False,865,460.97687861271675,420.0,380.97687861271675,159.0,80.0
shared_full_pipeline_capacity2,transmission_segment,shared_pool,2,True,1501,473.81755301860204,252.73361094867641,393.81755301860204,0.012228609613885055,80.0
shared_full_pipeline_partitioned_two_lanes,controller_admission,partitioned,2,False,2366,490.90236686390534,420.0,482.90236686390534,230.99999999999818,8.0
shared_full_pipeline_partitioned_two_lanes,destination_link_interface,partitioned,2,False,2366,490.90236686390534,420.0,478.90236686390534,226.9999999999991,11.999999999999998
shared_full_pipeline_partitioned_two_lanes,source_link_interface,partitioned,2,False,2366,490.90236686390534,420.0,371.90236686390534,119.99999999999818,119.0
shared_full_pipeline_partitioned_two_lanes,switch_arbiter,partitioned,2,False,2366,490.90236686390534,420.0,478.90236686390534,226.99999999999818,12.0
shared_full_pipeline_partitioned_two_lanes,switch_path,partitioned,2,False,2366,490.90236686390534,420.0,395.90236686390534,143.99999999999818,95.0
shared_full_pipeline_partitioned_two_lanes,transmission_segment,partitioned,2,False,2366,490.90236686390534,420.0,410.90236686390534,158.99999999999818,80.0
shared_source_link_interface_capacity1,controller_admission,dedicated,1,False,2366,491.09668762489974,420.0,483.09668762489974,230.99999999999818,8.0
shared_source_link_interface_capacity1,destination_link_interface,dedicated,1,False,2366,490.9599499799011,420.0,478.9599499799011,227.0,11.999999999999998
shared_source_link_interface_capacity1,source_link_interface,shared_pool,1,False,657,371.7351706854084,420.0,252.73517068540838,120.0,119.0
shared_source_link_interface_capacity1,source_link_interface,shared_pool,1,True,1739,201.51383009430725,178.62237291430392,82.51383009430727,0.0,119.0
shared_source_link_interface_capacity1,switch_arbiter,dedicated,1,False,2366,490.9599499799011,420.0,478.9599499799011,227.0,12.0
shared_source_link_interface_capacity1,switch_path,dedicated,1,False,2366,490.9599499799011,420.0,395.9599499799011,144.0,95.0
